x position,y position,Simulation Output (V),Analytical Output (V),Absolure error (%),Relative error (%)
-0.7142857142857143,-0.673469387755102,0.5737932471823989,0.6074849764978884,0.03,5.87
-0.7142857142857143,-0.6326530612244898,0.4680541522140877,0.49324686142678664,0.03,5.38
-0.7142857142857143,-0.5918367346938775,0.3668940576900833,0.3861486285476289,0.02,5.25
-0.7142857142857143,-0.5510204081632653,0.269414377902507,0.2861902778604147,0.02,6.23
-0.7142857142857143,-0.5102040816326531,0.18436281797407011,0.19337180936514548,0.01,4.89
-0.7142857142857143,-0.46938775510204084,0.10554479668960848,0.10769322306181935,0.0,2.04
-0.7142857142857143,-0.42857142857142855,0.026891395149372714,0.029154518950437344,0.0,8.42
-0.7142857142857143,-0.3877551020408163,-0.03873696938948001,-0.04224430296900076,0.0,9.05
-0.7142857142857143,-0.3469387755102041,-0.09970526851499448,-0.10650324269649625,0.01,6.82
-0.7142857142857143,-0.30612244897959184,-0.1512904895373663,-0.16362230023204644,0.01,8.15
-0.7142857142857143,-0.2653061224489796,-0.1987280763570069,-0.21360147557565323,0.01,7.48
-0.7142857142857143,-0.22448979591836735,-0.24168018056404944,-0.25644076872731614,0.01,6.11
-0.7142857142857143,-0.1836734693877551,-0.2751926720353038,-0.29214017968703493,0.02,6.16
-0.7142857142857143,-0.14285714285714285,-0.30297486391193035,-0.3206997084548107,0.02,5.85
-0.7142857142857143,-0.10204081632653061,-0.32002591412798553,-0.3421193550306421,0.02,6.9
-0.7142857142857143,-0.061224489795918366,-0.3387962049979851,-0.35639911941452973,0.02,5.2
-0.7142857142857143,-0.02040816326530612,-0.3443038185621932,-0.36353900160647346,0.02,5.59
-0.7142857142857143,0.02040816326530612,-0.3435717610135186,-0.36353900160647346,0.02,5.81
-0.7142857142857143,0.061224489795918366,-0.334817617024357,-0.35639911941452973,0.02,6.45
-0.7142857142857143,0.10204081632653061,-0.3224520921179066,-0.3421193550306421,0.02,6.1
-0.7142857142857143,0.14285714285714285,-0.29926446455182865,-0.3206997084548107,0.02,7.16
-0.7142857142857143,0.1836734693877551,-0.27235260896825697,-0.29214017968703493,0.02,7.27
-0.7142857142857143,0.22448979591836735,-0.24471171061526742,-0.25644076872731614,0.01,4.79
-0.7142857142857143,0.2653061224489796,-0.20279050629181036,-0.21360147557565323,0.01,5.33
-0.7142857142857143,0.30612244897959184,-0.15669039531580606,-0.16362230023204644,0.01,4.42
-0.7142857142857143,0.3469387755102041,-0.10223825614382905,-0.10650324269649625,0.0,4.17
-0.7142857142857143,0.3877551020408163,-0.04168901049942901,-0.04224430296900076,0.0,1.33
-0.7142857142857143,0.42857142857142855,0.02846006132950903,0.029154518950437344,0.0,2.44
-0.7142857142857143,0.46938775510204084,0.10121023688380215,0.10769322306181935,0.01,6.41
-0.7142857142857143,0.5102040816326531,0.18251196749280524,0.19337180936514548,0.01,5.95
-0.7142857142857143,0.5510204081632653,0.2728127897552824,0.2861902778604147,0.01,4.9
-0.7142857142857143,0.5918367346938775,0.36576841764268486,0.3861486285476289,0.02,5.57
-0.7142857142857143,0.6326530612244898,0.46380047288473314,0.49324686142678664,0.03,6.35
-0.7142857142857143,0.673469387755102,0.5726136072399933,0.6074849764978884,0.03,6.09
-0.673469387755102,-0.7142857142857143,0.6858435110316939,0.7253610315429794,0.04,5.76
-0.673469387755102,-0.673469387755102,0.5762319659262285,0.6109189198378226,0.03,6.02
-0.673469387755102,-0.6326530612244898,0.47516780155673227,0.503208697056499,0.03,5.9
-0.673469387755102,-0.5918367346938775,0.379883898330014,0.40223036319900696,0.02,5.88
-0.673469387755102,-0.5510204081632653,0.2929182541237215,0.30798391826534793,0.02,5.14
-0.673469387755102,-0.5102040816326531,0.2053579856479674,0.2204693622555231,0.02,7.36
-0.673469387755102,-0.46938775510204084,0.13297774038689084,0.13968669516952967,0.01,5.05
-0.673469387755102,-0.42857142857142855,0.06321329031629216,0.06563591700736957,0.0,3.83
-0.673469387755102,-0.3877551020408163,-0.0006946995766510249,-0.0016829722309578592,0.0,142.26
-0.673469387755102,-0.3469387755102041,-0.06147926222513839,-0.06226997254545312,0.0,1.29
-0.673469387755102,-0.30612244897959184,-0.11350220612495672,-0.11612508393611493,0.0,2.31
-0.673469387755102,-0.2653061224489796,-0.15365175518302873,-0.1632483064029441,0.01,6.25
-0.673469387755102,-0.22448979591836735,-0.1891951380363735,-0.20363963994594084,0.01,7.63
-0.673469387755102,-0.1836734693877551,-0.22630355790776596,-0.2372990845651045,0.01,4.86
-0.673469387755102,-0.14285714285714285,-0.24698888550348413,-0.2642266402604355,0.02,6.98
-0.673469387755102,-0.10204081632653061,-0.2702289387393322,-0.28442230703193383,0.01,5.25
-0.673469387755102,-0.061224489795918366,-0.2838961642298953,-0.2978860848795996,0.01,4.93
-0.673469387755102,-0.02040816326530612,-0.2896205572940399,-0.3046179738034323,0.01,5.18
-0.673469387755102,0.02040816326530612,-0.2872844619320038,-0.3046179738034323,0.02,6.03
