x position,y position,Simulation Output (V),Analytical Output (V),Absolute error (%),Relative error (%)
-0.7959183673469388,0.14285714285714285,3.442017191487961e9,5.913545468660436e9,2.47152827717e9,71.8
-0.7959183673469388,0.1836734693877551,3.3035086424899707e9,5.709648153311701e9,2.40613951082e9,72.84
-0.7959183673469388,0.22448979591836735,3.2386965876866655e9,5.451900663512882e9,2.21320407583e9,68.34
-0.7959183673469388,0.2653061224489796,2.982439227099726e9,5.138437321247092e9,2.15599809415e9,72.29
-0.7959183673469388,0.30612244897959184,2.773699674436552e9,4.767067525086262e9,1.99336785065e9,71.87
-0.7959183673469388,0.3469387755102041,2.518921294285899e9,4.335298214862508e9,1.81637692058e9,72.11
-0.7959183673469388,0.3877551020408163,2.186884378189444e9,3.8403574311619573e9,1.65347305297e9,75.61
-0.7959183673469388,0.42857142857142855,1.9167904270851388e9,3.279218216875418e9,1.36242778979e9,71.08
-0.7959183673469388,0.46938775510204084,1.5955228975138173e9,2.6486222205378785e9,1.05309932302e9,66.0
-0.7959183673469388,0.5102040816326531,1.2053565736351857e9,1.9451024910476995e9,7.3974591741e8,61.37
-0.7959183673469388,0.5510204081632653,8.149435555135024e8,1.1650050854455147e9,3.5006152993e8,42.96
-0.7959183673469388,0.5918367346938775,4.6617615560890734e8,3.0450923451756215e8,1.6166692109e8,34.68
-0.7551020408163265,-0.6326530612244898,5.59202246285385e8,5.524939534016625e8,6.70829288e6,1.2
-0.7551020408163265,-0.5918367346938775,9.937628723054718e8,1.467224769127214e9,4.7346189682e8,47.64
-0.7551020408163265,-0.5510204081632653,1.3817609851151412e9,2.298874438031738e9,9.1711345292e8,66.37
-0.7551020408163265,-0.5102040816326531,1.7413345639638278e9,3.05151261375334e9,1.31017804979e9,75.24
-0.7551020408163265,-0.46938775510204084,2.164374439072467e9,3.729065842968221e9,1.5646914039e9,72.29
-0.7551020408163265,-0.42857142857142855,2.47815385738728e9,4.335298214817727e9,1.85714435743e9,74.94
-0.7551020408163265,-0.3877551020408163,2.8379176010321255e9,4.873790092509574e9,2.03587249148e9,71.74
-0.7551020408163265,-0.3469387755102041,3.1132553458188953e9,5.347915037872667e9,2.23465969205e9,71.78
-0.7551020408163265,-0.30612244897959184,3.346592096768389e9,5.76081516337689e9,2.41422306661e9,72.14
-0.7551020408163265,-0.2653061224489796,3.609858288389037e9,6.11537529497872e9,2.50551700659e9,69.41
-0.7551020408163265,-0.22448979591836735,3.7838276606151366e9,6.414196496042241e9,2.63036883543e9,69.52
-0.7551020408163265,-0.1836734693877551,3.9403566451667504e9,6.659569674390806e9,2.71921302922e9,69.01
-0.7551020408163265,-0.14285714285714285,4.0747777549483466e9,6.853450151895589e9,2.77867239695e9,68.19
-0.7551020408163265,-0.10204081632653061,4.229763945524621e9,6.9974341946387415e9,2.76767024911e9,65.43
-0.7551020408163265,-0.061224489795918366,4.30989566453114e9,7.092738555773222e9,2.78284289124e9,64.57
-0.7551020408163265,-0.02040816326530612,4.296366864552304e9,7.140184050502577e9,2.84381718595e9,66.19
-0.7551020408163265,0.02040816326530612,4.321307555672506e9,7.140184050502577e9,2.81887649483e9,65.23
-0.7551020408163265,0.061224489795918366,4.220833000805421e9,7.092738555773222e9,2.87190555497e9,68.04
-0.7551020408163265,0.10204081632653061,4.1924822531875663e9,6.9974341946387415e9,2.80495194145e9,66.9
-0.7551020408163265,0.14285714285714285,4.06492301876591e9,6.853450151895589e9,2.78852713313e9,68.6
-0.7551020408163265,0.1836734693877551,3.992160983647673e9,6.659569674390806e9,2.66740869074e9,66.82
-0.7551020408163265,0.22448979591836735,3.8014005534145584e9,6.414196496042241e9,2.61279594263e9,68.73
-0.7551020408163265,0.2653061224489796,3.619682123784669e9,6.11537529497872e9,2.49569317119e9,68.95
-0.7551020408163265,0.30612244897959184,3.430988218289566e9,5.76081516337689e9,2.32982694509e9,67.91
-0.7551020408163265,0.3469387755102041,3.1309711155814466e9,5.347915037872667e9,2.21694392229e9,70.81
-0.7551020408163265,0.3877551020408163,2.844908882013708e9,4.873790092509574e9,2.0288812105e9,71.32
-0.7551020408163265,0.42857142857142855,2.4400544281879277e9,4.335298214817727e9,1.89524378663e9,77.67
-0.7551020408163265,0.46938775510204084,2.1732518291169095e9,3.729065842968221e9,1.55581401385e9,71.59
-0.7551020408163265,0.5102040816326531,1.8189955921837387e9,3.05151261375334e9,1.23251702157e9,67.76
-0.7551020408163265,0.5510204081632653,1.4267200689333694e9,2.298874438031738e9,8.721543691e8,61.13
-0.7551020408163265,0.5918367346938775,9.715168117539585e8,1.467224769127214e9,4.9570795737e8,51.02
-0.7551020408163265,0.6326530612244898,5.747595886799322e8,5.524939534016625e8,2.226563528e7,3.87
-0.7142857142857143,-0.673469387755102,6.217154822515064e8,6.758506284636859e8,5.413514621e7,8.71
-0.7142857142857143,-0.6326530612244898,1.0626780744542927e9,1.6472512225267231e9,5.8457314807e8,55.01
-0.7142857142857143,-0.5918367346938775,1.5047466625956743e9,2.532489613921327e9,1.02774295133e9,68.3
-0.7142857142857143,-0.5510204081632653,1.9387612000120883e9,3.3358562331888185e9,1.39709503318e9,72.06
-0.7142857142857143,-0.5102040816326531,2.316377340801021e9,4.0615223533253274e9,1.74514501252e9,75.34
-0.7142857142857143,-0.46938775510204084,2.7761401535337114e9,4.713522306350654e9,1.93738215282e9,69.79
-0.7142857142857143,-0.42857142857142855,3.0923791588591666e9,5.295733464252212e9,2.20335430539e9,71.25
-0.7142857142857143,-0.3877551020408163,3.4575244497199755e9,5.811853934999794e9,2.35432948528e9,68.09
-0.7142857142857143,-0.3469387755102041,3.609628259862478e9,6.265378026901183e9,2.65574976704e9,73.57
-0.7142857142857143,-0.30612244897959184,3.970068412603845e9,6.659569674273125e9,2.68950126167e9,67.74
-0.7142857142857143,-0.2653061224489796,4.2292830911454353e9,6.997434194494876e9,2.76815110335e9,65.45
-0.7142857142857143,-0.22448979591836735,4.397899440589391e9,7.28168895503847e9,2.88378951445e9,65.57
-0.7142857142857143,-0.1836734693877551,4.588187688591143e9,7.514733754597717e9,2.92654606601e9,63.78
-0.7142857142857143,-0.14285714285714285,4.708955578745577e9,7.698621940810039e9,2.98966636206e9,63.49
-0.7142857142857143,-0.10204081632653061,4.767652838697062e9,7.835033465325087e9,3.06738062663e9,64.34
-0.7142857142857143,-0.061224489795918366,4.7832684280281e9,7.925251177439854e9,3.14198274941e9,65.69
-0.7142857142857143,-0.02040816326530612,4.803732624434337e9,7.970141645213694e9,3.16640902078e9,65.92
-0.7142857142857143,0.02040816326530612,4.801928703308588e9,7.970141645213694e9,3.16821294191e9,65.98
-0.7142857142857143,0.061224489795918366,4.84042717635421e9,7.925251177439854e9,3.08482400109e9,63.73
-0.7142857142857143,0.10204081632653061,4.829149837892593e9,7.835033465325087e9,3.00588362743e9,62.24
-0.7142857142857143,0.14285714285714285,4.680861565008532e9,7.698621940810039e9,3.0177603758e9,64.47
-0.7142857142857143,0.1836734693877551,4.574160900854259e9,7.514733754597717e9,2.94057285374e9,64.29
-0.7142857142857143,0.22448979591836735,4.392212272456949e9,7.28168895503847e9,2.88947668258e9,65.79
-0.7142857142857143,0.2653061224489796,4.159778336576352e9,6.997434194494876e9,2.83765585792e9,68.22
-0.7142857142857143,0.30612244897959184,3.997190364139193e9,6.659569674273125e9,2.66237931013e9,66.61
-0.7142857142857143,0.3469387755102041,3.7097418902327447e9,6.265378026901183e9,2.55563613667e9,68.89
-0.7142857142857143,0.3877551020408163,3.4176264753259773e9,5.811853934999794e9,2.39422745967e9,70.06
-0.7142857142857143,0.42857142857142855,3.0728669321907554e9,5.295733464252212e9,2.22286653206e9,72.34
-0.7142857142857143,0.46938775510204084,2.7214765022622604e9,4.713522306350654e9,1.99204580409e9,73.2
-0.7142857142857143,0.5102040816326531,2.326746146558296e9,4.0615223533253274e9,1.73477620677e9,74.56
-0.7142857142857143,0.5510204081632653,1.9648147920523624e9,3.3358562331888185e9,1.37104144114e9,69.78
-0.7142857142857143,0.5918367346938775,1.4890139507942631e9,2.532489613921327e9,1.04347566313e9,70.08
-0.7142857142857143,0.6326530612244898,1.0644712257127907e9,1.6472512225267231e9,5.8277999681e8,54.75
-0.7142857142857143,0.673469387755102,6.23810447038633e8,6.758506284636859e8,5.204018143e7,8.34
-0.673469387755102,-0.7142857142857143,6.187755607110536e8,6.758506284614164e8,5.707506775e7,9.22
-0.673469387755102,-0.673469387755102,1.1188258997028704e9,1.707041294837562e9,5.8821539513e8,52.57
-0.673469387755102,-0.6326530612244898,1.5495715036938603e9,2.648622220490914e9,1.0990507168e9,70.93
-0.673469387755102,-0.5918367346938775,2.0042687626000957e9,3.5050743832504973e9,1.50080562065e9,74.88
-0.673469387755102,-0.5510204081632653,2.494443158259839e9,4.280782674568537e9,1.78633951631e9,71.61
