x position,y position,Simulation Output (°C),Analytical Output (°C),Absolute error (%),Relative error (%)
-0.6551724137931034,-0.3103448275862069,-0.09034048556978265,-0.28583021485432186,0.2,216.39
-0.6551724137931034,-0.2413793103448276,-0.07344645463417773,-0.2554560452138003,0.18,247.81
-0.6551724137931034,-0.1724137931034483,-0.05778352615643314,-0.22808272784752495,0.17,294.72
-0.6551724137931034,-0.10344827586206896,-0.047512348075805004,-0.20338870731294023,0.16,328.08
-0.6551724137931034,-0.034482758620689655,-0.03680729292415347,-0.18108390197342056,0.14,391.98
-0.6551724137931034,0.034482758620689655,-0.03040001659435278,-0.16090629639780377,0.13,429.3
-0.6551724137931034,0.10344827586206896,-0.02398054527892798,-0.1426188634547499,0.12,494.73
-0.6551724137931034,0.1724137931034483,-0.019774154405358593,-0.12600677994564827,0.11,537.23
-0.6551724137931034,0.2413793103448276,-0.015423747532645176,-0.1108749030680001,0.1,618.86
-0.6551724137931034,0.3103448275862069,-0.01284706305617674,-0.09704547806519402,0.08,655.39
-0.6551724137931034,0.3793103448275862,-0.010026646099927317,-0.08435605013434419,0.07,741.32
-0.6551724137931034,0.4482758620689655,-0.008287976862274685,-0.07265755606329093,0.06,776.66
-0.6551724137931034,0.5172413793103449,-0.006518670717555014,-0.06181257317914743,0.06,848.24
-0.6551724137931034,0.5862068965517241,-0.0049027248373174626,-0.051693705038722046,0.05,954.39
-0.6551724137931034,0.6551724137931034,-0.0037958144190566347,-0.04218208489745767,0.04,1011.28
-0.6551724137931034,0.7241379310344828,-0.0033736824251036587,-0.03316597937707865,0.03,883.08
-0.6551724137931034,0.7931034482758621,-0.0021012118446317282,-0.024539475929173635,0.02,1067.87
-0.6551724137931034,0.8620689655172413,-0.0014354911877390716,-0.016201238676297382,0.01,1028.62
-0.6551724137931034,0.9310344827586207,-0.0010222319661818003,-0.00805331801540736,0.01,687.82
-0.5862068965517241,-0.9310344827586207,-0.6377336357338158,-0.7140354337190943,0.08,11.96
-0.5862068965517241,-0.8620689655172413,-0.523664884794099,-0.6403656042344394,0.12,22.29
